OBJECTID,STATUS,AP_NAME,AP_NUMBER,MAP_NUMBER,AP_FULL_NAME,ADOPTED_DATE,CROP_TYPE,NONR_DATE,ACTIVE,AMENDMENT_NO,SHAPESTArea,SHAPESTLength
8784,O,"MIRA LOMA",4,871,"MIRA LOMA NO. 4 MAP NO. 871",2003-02-04T00:00:00.000Z," ",,N,4,1222983.625,5066.28988431228
8785,O,"MIRA LOMA",5,6,"MIRA LOMA NO. 5 MAP NO. 6",1969-02-10T00:00:00.000Z," ",,Y," ",1642806.07714844,5599.10579920747
8791,O,"MIRA LOMA",7,37,"MIRA LOMA NO. 7 MAP NO. 37",1970-02-09T00:00:00.000Z," ",,Y," ",5080014.59375,15591.6282166229
8814,O,"MIRA LOMA",19,328,"MIRA LOMA NO. 19 MAP NO. 328",1975-02-25T00:00:00.000Z," ",,Y," ",19619.732421875,2645.98667835882
8822,O,"MURRIETA HOT SPRINGS",12,232A,"MURRIETA HOT SPRINGS NO. 12 MAP NO. 232A",1974-02-19T00:00:00.000Z," ",,N," ",10469107.6259766,16318.8702365455
8823,O,"PERRIS VALLEY",1,56,"PERRIS VALLEY NO. 1 MAP NO. 56",1970-02-24T00:00:00.000Z," ",,N," ",21889533.1259766,22617.2617912623
8837,O,"SAN GORGONIO PASS",7,397,"SAN GORGONIO PASS NO. 7 MAP NO. 397",1977-01-18T00:00:00.000Z," ",,Y," ",352394.9296875,5196.96171807992
8852,O,"SAN GORGONIO PASS",3,220,"SAN GORGONIO PASS NO. 3 MAP NO. 220",1972-02-01T00:00:00.000Z," ",,N," ",20545400.546875,18382.7635944845
8854,O,"SAN GORGONIO PASS",10,546,"SAN GORGONIO PASS NO. 10 MAP NO. 546",1982-02-09T00:00:00.000Z," ",,N," ",15496461.3935547,20839.8432207339
8855,O,"SAN GORGONIO PASS",10,546,"SAN GORGONIO PASS NO. 10 MAP NO. 546",1982-02-09T00:00:00.000Z," ",,N," ",8124406.98828125,12083.6001166827
8857,O,"SAN JACINTO",3,207A,"SAN JACINTO NO. 3 MAP NO. 207A",1972-03-14T00:00:00.000Z," ",,N," ",14097085.5839844,23671.0364964576
8859,O,"SAN JACINTO",1,105,"SAN JACINTO NO. 1 MAP NO. 105",1970-06-22T00:00:00.000Z," ",,N," ",9996644.69238281,19785.5111920082
8862,O,"SAN JACINTO",4,208,"SAN JACINTO NO. 4 MAP NO. 208",1972-02-01T00:00:00.000Z," ",,N," ",6508308.50683594,17637.6626322807
8864,O,"SAN JACINTO",5,209,"SAN JACINTO NO. 5 MAP NO. 209",1972-02-01T00:00:00.000Z," ",,N," ",4957551.95898438,12892.9357262437
8888,O,TEMECULA,6,483,"TEMECULA NO. 6 MAP NO. 483",," ",,N,1,92663976.8505859,70222.0423441341
8895,O,BLYTHE,18,753,"BLYTHE NO. 18 MAP NO. 753",1996-12-17T00:00:00.000Z," ",,Y," ",11356502.8955078,15930.8562443042
8896,O,BLYTHE,28,763,"BLYTHE NO. 28 MAP NO. 763",1996-12-17T00:00:00.000Z," ",,Y," ",8477108.83789062,15123.7475260479
8897,O,BLYTHE,28,763,"BLYTHE NO. 28 MAP NO. 763",1996-12-17T00:00:00.000Z," ",,Y," ",4305596.34082031,9039.83786301118
8898,O,BLYTHE,22,757,"BLYTHE NO. 22 MAP NO. 757",1996-12-17T00:00:00.000Z," ",,Y," ",6759443.44140625,10400.5123507933
8899,O,BLYTHE,28,763,"BLYTHE NO. 28 MAP NO. 763",1996-12-17T00:00:00.000Z," ",,Y," ",1752654.17773438,5480.25740131761
8900,O,BLYTHE,27,762,"BLYTHE NO. 27 MAP NO. 762",1996-12-17T00:00:00.000Z," ",,Y," ",33975912.8164062,28482.3011523888
8901,O,BLYTHE,26,761,"BLYTHE NO. 26 MAP NO. 761",1995-12-17T00:00:00.000Z," ",,Y," ",7235871.91992188,10762.1176508795
8902,O,BLYTHE,19,754,"BLYTHE NO. 19 MAP NO. 754",1996-12-17T00:00:00.000Z," ",,Y," ",10561803.4980469,19470.5289578762
8903,O,BLYTHE,19,754,"BLYTHE NO. 19 MAP NO. 754",1996-12-17T00:00:00.000Z," ",,Y," ",3286937.66992188,7819.13984412981
8904,O,BLYTHE,30,765,"BLYTHE NO. 30 MAP NO. 765",1996-12-17T00:00:00.000Z," ",,Y," ",5023464.99511719,10335.822458941
8907,O,"MIRA LOMA",9,103,"MIRA LOMA NO. 9 MAP NO. 103",1970-06-15T00:00:00.000Z," ",,Y," ",1078497.72851562,4158.94472634892
8908,O,"RANCHO CALIFORNIA",25,663,"RANCHO CALIFORNIA NO. 25 MAP NO. 663",1991-05-21T00:00:00.000Z," ",,N,2,3574546.59472656,8964.09512144576
8909,O,"RANCHO CALIFORNIA",25,663,"RANCHO CALIFORNIA NO. 25 MAP NO. 663",1991-05-21T00:00:00.000Z," ",,N,2,422172.174804688,3082.49410257275
